3M CO,MMM,53.99%,3M
ABBOTT LABORATORIES,ABT,60.59%,abbottglobal
ABBVIE,ABBV,55.59%,abbvie
ABIOMED,ABMD,0.00%,abiomed
ACCENTURE PLC,ACN,70.12%,accenture
ANALOG DEVICES,ADI,58.62%,adi_news
ARCHER-DANIELS-MIDLAND CO,ADM,51.17%,ADMAgriculture
ADOBE,ADBE,76.63%,Adobe
AUTOMATIC DATA PROCESSING,ADP,34.43%,ADP
ADVANCE AUTO PARTS,AAP,37.55%,AdvanceAuto
AMERICAN ELECTRIC POWER COMPANY,AEP,52.66%,AEPnews
AFLAC,AFL,44.23%,aflac
AGILENT TECHNOLOGIES,A,63.77%,agilent
AMERICAN INTERNATIONAL GROUP,AIG,31.26%,AIGinsurance
AIR PRODUCTS AND CHEMICALS,APD,34.42%,AirProducts
AKAMAI TECHNOLOGIES,AKAM,30.28%,Akamai
ALASKA AIR GROUP,ALK,23.81%,alaskaair
ALBEMARLE CORP,ALB,50.64%,AlbemarleCorp
ALIGN TECHNOLOGY,ALGN,3.56%,AlignTechInc
ALLEGION PLC,ALLE,2.90%,AllegionPlc
ALLIANT ENERGY CORP,LNT,31.67%,AlliantEnergy
ALLSTATE CORP,ALL,41.41%,allstate
ALPHABET CLASS A,GOOGL,58.27%,AlphabetInc
PHILIP MORRIS INTERNATIONAL,PM,66.29%,altrianews
ALTRIA GROUP,MO,59.65%,AltriaNews
AMAZON.COM,AMZN,26.94%,Amazon
ADVANCED MICRO DEVICES,AMD,74.56%,amd
AMEREN CORP,AEE,34.32%,amerencorp
AMERICAN AIRLINES GROUP,AAL,35.58%,americanair
AMERICAN EXPRESS CO,AXP,71.94%,americanexpress
AMERICAN TOWER CORP,AMT,45.34%,AmericanTowerUS
AMERIPRISE FINANCIAL,AMP,63.68%,Ameriprise
AMETEK,AME,46.68%,AMETEKInc
AMGEN,AMGN,69.19%,amgen
AMPHENOL CORP,APH,48.70%,Amphenol
AMERICAN WATER WORKS COMPANY,AWK,44.34%,amwater
ANSYS,ANSS,46.73%,Ansys
ANTHEM,ANTM,72.36%,AnthemInc
AON PLC,AON,36.42%,Aon_plc
A O SMITH CORP,AOS,42.19%,AOSmithHotWater
APA CORP (US),APA,30.35%,APA_Corp
APPLE,AAPL,71.29%,Apple
APPLIED MATERIALS,AMAT,69.44%,applied_blog
APTIV PLC,APTV,57.84%,Aptiv
ARISTA NETWORKS,ANET,62.22%,AristaNetworks
