Name,Ticker,Earth Pillar,Twitter handle,Twitter Id
3M CO,MMM,53.99%,3M,378197959
ABBOTT LABORATORIES,ABT,60.59%,abbottglobal,
ABBVIE,ABBV,55.59%,abbvie,
ABIOMED,ABMD,0.00%,abiomed,
ACCENTURE PLC,ACN,70.12%,accenture,
ANALOG DEVICES,ADI,58.62%,adi_news,
ARCHER-DANIELS-MIDLAND CO,ADM,51.17%,ADMAgriculture,
ADOBE,ADBE,76.63%,Adobe,
AUTOMATIC DATA PROCESSING,ADP,34.43%,ADP,
ADVANCE AUTO PARTS,AAP,37.55%,AdvanceAuto,
AMERICAN ELECTRIC POWER COMPANY,AEP,52.66%,AEPnews,
AFLAC,AFL,44.23%,aflac,
AGILENT TECHNOLOGIES,A,63.77%,agilent,
AMERICAN INTERNATIONAL GROUP,AIG,31.26%,AIGinsurance,
AIR PRODUCTS AND CHEMICALS,APD,34.42%,AirProducts,
AKAMAI TECHNOLOGIES,AKAM,30.28%,Akamai,19622847
ALASKA AIR GROUP,ALK,23.81%,alaskaair,
ALBEMARLE CORP,ALB,50.64%,AlbemarleCorp,342316270
ALIGN TECHNOLOGY,ALGN,3.56%,AlignTechInc,9.88456E+17
ALLEGION PLC,ALLE,2.90%,AllegionPlc,1516733046
ALLIANT ENERGY CORP,LNT,31.67%,AlliantEnergy,14777626
ALLSTATE CORP,ALL,41.41%,allstate,
ALPHABET CLASS A,GOOGL,58.27%,AlphabetInc,406891427
PHILIP MORRIS INTERNATIONAL,PM,66.29%,altrianews,267893832
ALTRIA GROUP,MO,59.65%,AltriaNews,267893832
AMAZON.COM,AMZN,26.94%,Amazon,20793816
ADVANCED MICRO DEVICES,AMD,74.56%,amd,
AMEREN CORP,AEE,34.32%,amerencorp,
AMERICAN AIRLINES GROUP,AAL,35.58%,americanair,
AMERICAN EXPRESS CO,AXP,71.94%,americanexpress,
AMERICAN TOWER CORP,AMT,45.34%,AmericanTowerUS,
AMERIPRISE FINANCIAL,AMP,63.68%,Ameriprise,
AMETEK,AME,46.68%,AMETEKInc,
AMGEN,AMGN,69.19%,amgen,28436760
AMPHENOL CORP,APH,48.70%,Amphenol,
AMERICAN WATER WORKS COMPANY,AWK,44.34%,amwater,25565709
ANSYS,ANSS,46.73%,Ansys,
ANTHEM,ANTM,72.36%,AnthemInc,
AON PLC,AON,36.42%,Aon_plc,
A O SMITH CORP,AOS,42.19%,AOSmithHotWater,
APA CORP (US),APA,30.35%,APA_Corp,57098362
APPLE,AAPL,71.29%,Apple,
APPLIED MATERIALS,AMAT,69.44%,applied_blog,1.03528E+18
APTIV PLC,APTV,57.84%,Aptiv,815759221
ARISTA NETWORKS,ANET,62.22%,AristaNetworks,
REGIONS FINANCIAL CORP,RF,49.84%,AskRegions,
ASSURANT,AIZ,59.66%,Assurant,600986080
ATMOS ENERGY CORP,ATO,0.65%,atmosenergy,29976734
AT&T,T,56.25%,ATT,14620190
ACTIVISION BLIZZARD,ATVI,3.36%,atvi_ab,7.53671E+17
AUTODESK,ADSK,56.01%,autodesk,31957731
AUTOZONE,AZO,44.12%,autozone,
AVALONBAY COMMUNITIES,AVB,45.76%,AvalonBay,
AVERY DENNISON CORP,AVY,54.50%,averydennison,
BROWN & BROWN,BRO,0.00%,b_binsurance,9.2608E+17
BALL CORP,BLL,56.87%,ballcorpHQ,
BANK OF AMERICA CORP,BAC,71.31%,BankofAmerica,
BATH & BODY WORKS,BBWI,55.46%,bathbodyworks,249203600
BAXTER INTERNATIONAL,BAX,59.14%,baxter_intl,
BEST BUY CO,BBY,58.58%,BBYNews,
BECTON DICKINSON AND CO,BDX,63.55%,BDandCo,
BAKER HUGHES CO,BKR,57.53%,bhinc,
BIOGEN,BIIB,70.14%,Biogen,
BIO RAD LABORATORIES,BIO,10.05%,BioRad,559118259
BIO-TECHNE CORP,TECH,4.04%,Biotechne,
BLACKROCK,BLK,36.79%,BlackRock_News,2550705541
BRISTOL-MYERS SQUIBB CO,BMY,62.27%,BMSNEWS,34010976
BANK OF NEW YORK MELLON CORP,BK,63.69%,bnymellon,167562319
BOEING CO,BA,56.07%,Boeing,
BOOKING HOLDINGS,BKNG,45.00%,BookingHoldings,
BORGWARNER,BWA,49.65%,BorgWarner,
BOSTON SCIENTIFIC CORP,BSX,65.57%,BostonSci,214210756
BROADCOM,AVGO,48.49%,Broadcom,
BROADRIDGE FINANCIAL SOLUTIONS,BR,28.09%,Broadridge,15069827
BROWN-FORMAN CORP,BF.B,50.14%,BrownFormanJobs,1.20659E+18
BOSTON PROPERTIES,BXP,52.89%,bxpBoston,8.67455E+17
CADENCE DESIGN SYSTEMS,CDNS,51.44%,cadence,18793792
CAESARS ENTERTAINMENT,CZR,0.00%,CaesarsEnt,164528815
CAMPBELL SOUP CO,CPB,50.94%,CampbellSoupCo,37008048
